epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2912.85,1.19528,0.64166,1.24131,0.83859,0.8836,0.87956,0.6392,1.18479,0.55988,1.31175,0.00439,0.00439,0.00439
87,2946.58,1.19143,0.63963,1.24427,0.8458,0.87297,0.88581,0.64066,1.18723,0.55229,1.3201,0.004324,0.004324,0.004324
88,2980.1,1.19531,0.64431,1.2438,0.82729,0.88682,0.88069,0.63862,1.19124,0.55805,1.31563,0.004258,0.004258,0.004258
89,3013.26,1.18424,0.63463,1.23597,0.82915,0.89356,0.88203,0.6423,1.18003,0.55591,1.30949,0.004192,0.004192,0.004192
90,3046.66,1.18683,0.63799,1.24107,0.83371,0.88431,0.88742,0.64532,1.18819,0.5595,1.30865,0.004126,0.004126,0.004126
91,3080.43,1.18635,0.63652,1.23571,0.8398,0.88025,0.88826,0.64813,1.1884,0.55617,1.30951,0.00406,0.00406,0.00406
92,3114.12,1.18237,0.63065,1.23977,0.81465,0.89475,0.87943,0.63901,1.1885,0.56296,1.30937,0.003994,0.003994,0.003994
93,3147.63,1.17943,0.63679,1.23068,0.82638,0.89154,0.8848,0.63636,1.19355,0.55946,1.31528,0.003928,0.003928,0.003928
94,3181.02,1.18517,0.63024,1.2387,0.83118,0.88983,0.88357,0.63756,1.19393,0.55857,1.31654,0.003862,0.003862,0.003862
95,3215.08,1.17628,0.62554,1.23523,0.84467,0.87045,0.88617,0.64184,1.1809,0.55812,1.31166,0.003796,0.003796,0.003796
96,3250.16,1.17719,0.62894,1.22914,0.85144,0.87412,0.88684,0.63964,1.18196,0.56246,1.31404,0.00373,0.00373,0.00373
97,3285.51,1.18369,0.62556,1.23112,0.85854,0.88011,0.89186,0.64204,1.1864,0.55508,1.31737,0.003664,0.003664,0.003664
98,3320.94,1.17093,0.6219,1.23548,0.85947,0.86797,0.8873,0.64264,1.18831,0.56366,1.31598,0.003598,0.003598,0.003598
99,3356.34,1.17446,0.61981,1.22554,0.84434,0.87705,0.88854,0.64132,1.19489,0.56769,1.31562,0.003532,0.003532,0.003532
100,3391.69,1.16086,0.61601,1.22422,0.86812,0.86296,0.88743,0.64377,1.18903,0.56636,1.31035,0.003466,0.003466,0.003466
101,3427.34,1.16881,0.61857,1.23608,0.86169,0.86844,0.8913,0.64549,1.1857,0.56022,1.30998,0.0034,0.0034,0.0034
102,3462.5,1.16424,0.60994,1.22434,0.86365,0.86846,0.89332,0.64702,1.1885,0.55726,1.31533,0.003334,0.003334,0.003334
