epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2711.91,1.21096,0.65612,1.24555,0.84793,0.88314,0.89545,0.6493,1.17074,0.54984,1.28536,0.004852,0.004852,0.004852
80,2745.84,1.20166,0.65532,1.24063,0.84775,0.89443,0.89036,0.65275,1.17125,0.55381,1.28599,0.004786,0.004786,0.004786
81,2780.02,1.19583,0.65332,1.24146,0.82715,0.89292,0.88394,0.645,1.17208,0.5523,1.28793,0.00472,0.00472,0.00472
82,2813.77,1.2007,0.65222,1.23765,0.84363,0.88421,0.89091,0.65422,1.1737,0.5511,1.28998,0.004654,0.004654,0.004654
83,2847.95,1.1945,0.65272,1.23694,0.8283,0.8869,0.88347,0.64319,1.17809,0.5547,1.30057,0.004588,0.004588,0.004588
84,2881.87,1.1935,0.64912,1.23583,0.83386,0.88832,0.88586,0.64504,1.17521,0.54932,1.29839,0.004522,0.004522,0.004522
85,2916.2,1.19631,0.64441,1.23517,0.84598,0.86952,0.88757,0.64948,1.17773,0.54623,1.29653,0.004456,0.004456,0.004456
86,2950.03,1.19119,0.63833,1.23334,0.83689,0.87494,0.89113,0.6471,1.18464,0.54705,1.30376,0.00439,0.00439,0.00439
87,2984.51,1.18623,0.63924,1.23371,0.84499,0.87726,0.88891,0.64587,1.17621,0.54931,1.29627,0.004324,0.004324,0.004324
88,3018.69,1.19131,0.64113,1.23458,0.83562,0.89023,0.88667,0.64342,1.18426,0.55274,1.30352,0.004258,0.004258,0.004258
89,3052.92,1.18258,0.63318,1.22828,0.84864,0.89327,0.89417,0.6497,1.18332,0.55098,1.30446,0.004192,0.004192,0.004192
90,3086.95,1.18413,0.63722,1.2326,0.83646,0.89964,0.89222,0.65099,1.181,0.55335,1.30002,0.004126,0.004126,0.004126
91,3121.14,1.18056,0.63447,1.22404,0.85011,0.87239,0.88114,0.64742,1.17389,0.55222,1.29739,0.00406,0.00406,0.00406
92,3155.3,1.17725,0.63291,1.22938,0.85084,0.8764,0.88438,0.64657,1.17563,0.55156,1.29803,0.003994,0.003994,0.003994
93,3189.62,1.17514,0.63252,1.22314,0.83925,0.88685,0.88637,0.64556,1.17287,0.54877,1.29639,0.003928,0.003928,0.003928
94,3223.83,1.17882,0.62715,1.22695,0.84312,0.879,0.8846,0.64702,1.17898,0.55055,1.29993,0.003862,0.003862,0.003862
95,3258.14,1.17368,0.62511,1.22751,0.84933,0.87346,0.88283,0.64369,1.18169,0.55441,1.30518,0.003796,0.003796,0.003796
96,3292.67,1.17381,0.62986,1.21976,0.84999,0.87476,0.88136,0.64163,1.18253,0.55287,1.30262,0.00373,0.00373,0.00373
97,3326.86,1.17849,0.61869,1.22088,0.85245,0.87757,0.88487,0.64683,1.18035,0.54962,1.29792,0.003664,0.003664,0.003664
98,3360.88,1.16568,0.61999,1.22691,0.84798,0.87084,0.87861,0.63867,1.18532,0.55095,1.30431,0.003598,0.003598,0.003598
99,3394.81,1.16604,0.61678,1.21574,0.84685,0.86328,0.88373,0.64483,1.18041,0.55535,1.30017,0.003532,0.003532,0.003532
100,3429.14,1.15835,0.61273,1.21627,0.86496,0.86326,0.88011,0.64347,1.17953,0.55919,1.2981,0.003466,0.003466,0.003466
101,3463,1.15919,0.61441,1.22454,0.84605,0.88076,0.88244,0.64454,1.17623,0.55149,1.29673,0.0034,0.0034,0.0034
102,3497.49,1.15977,0.60699,1.21495,0.82753,0.88598,0.88128,0.64277,1.17462,0.55615,1.29578,0.003334,0.003334,0.003334
